"years","school","position","career","name","year"
"1994–1998","Connecticut","HC","Coaching","Skip Holtz",1995
"1994–1998","Connecticut","HC","Coaching","Skip Holtz",1996
"1994–1998","Connecticut","HC","Coaching","Skip Holtz",1997
"1994–1998","Connecticut","HC","Coaching","Skip Holtz",1998
"1999–2003","South Carolina","OC","Coaching","Skip Holtz",1999
"1999–2003","South Carolina","OC","Coaching","Skip Holtz",2000
"1999–2003","South Carolina","OC","Coaching","Skip Holtz",2001
"1999–2003","South Carolina","OC","Coaching","Skip Holtz",2002
"1999–2003","South Carolina","OC","Coaching","Skip Holtz",2003
"2004","South Carolina","QB","Coaching","Skip Holtz",2004
"2005–2009","East Carolina","HC","Coaching","Skip Holtz",2005
"2005–2009","East Carolina","HC","Coaching","Skip Holtz",2006
"2005–2009","East Carolina","HC","Coaching","Skip Holtz",2007
"2005–2009","East Carolina","HC","Coaching","Skip Holtz",2008
"2005–2009","East Carolina","HC","Coaching","Skip Holtz",2009
"2010–2012","South Florida","HC","Coaching","Skip Holtz",2010
"2010–2012","South Florida","HC","Coaching","Skip Holtz",2011
"2010–2012","South Florida","HC","Coaching","Skip Holtz",2012
"2013–2013","Louisiana Tech","HC","Coaching","Skip Holtz",2013
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1979
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1980
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1981
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1982
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1983
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1984
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1985
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1986
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1987
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1988
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1989
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1990
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1991
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1992
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1993
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1994
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1995
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1996
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1997
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1998
"1979–1999","West Virginia","assistant","Coaching","Doc Holliday",1999
"2000–2004","NC State","assistant","Coaching","Doc Holliday",2000
"2000–2004","NC State","assistant","Coaching","Doc Holliday",2001
"2000–2004","NC State","assistant","Coaching","Doc Holliday",2002
"2000–2004","NC State","assistant","Coaching","Doc Holliday",2003
"2000–2004","NC State","assistant","Coaching","Doc Holliday",2004
"2005–2007","Florida","assistant","Coaching","Doc Holliday",2005
"2005–2007","Florida","assistant","Coaching","Doc Holliday",2006
"2005–2007","Florida","assistant","Coaching","Doc Holliday",2007
"2008–2009","West Virginia","assistant","Coaching","Doc Holliday",2008
"2008–2009","West Virginia","assistant","Coaching","Doc Holliday",2009
"2010–2013","Marshall","HC","Coaching","Doc Holliday",2010
"2010–2013","Marshall","HC","Coaching","Doc Holliday",2011
"2010–2013","Marshall","HC","Coaching","Doc Holliday",2012
"2010–2013","Marshall","HC","Coaching","Doc Holliday",2013
"1983–1984","Bethune-Cookman","OC/QB","Coaching","Rick Stockstill",1983
"1983–1984","Bethune-Cookman","OC/QB","Coaching","Rick Stockstill",1984
"1985–1988","Central Florida","WR","Coaching","Rick Stockstill",1985
"1985–1988","Central Florida","WR","Coaching","Rick Stockstill",1986
"1985–1988","Central Florida","WR","Coaching","Rick Stockstill",1987
"1985–1988","Central Florida","WR","Coaching","Rick Stockstill",1988
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1989
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1990
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1991
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1992
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1993
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1994
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1995
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1996
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1997
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1998
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",1999
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",2000
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",2001
"1989–2002","Clemson","WR/QB","Coaching","Rick Stockstill",2002
"2003","East Carolina","OC","Coaching","Rick Stockstill",2003
"2004–2005","South Carolina","WR","Coaching","Rick Stockstill",2004
"2004–2005","South Carolina","WR","Coaching","Rick Stockstill",2005
"2006–","Middle Tennessee","HC","Coaching","Rick Stockstill",2006
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1977
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1978
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1979
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1980
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1981
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1982
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1983
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1984
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1985
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1986
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1987
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1988
"1977–1989","Iowa","assistant","Coaching","Dan McCarney",1989
"1990–1994","Wisconsin","DC/DL","Coaching","Dan McCarney",1990
"1990–1994","Wisconsin","DC/DL","Coaching","Dan McCarney",1991
"1990–1994","Wisconsin","DC/DL","Coaching","Dan McCarney",1992
"1990–1994","Wisconsin","DC/DL","Coaching","Dan McCarney",1993
"1990–1994","Wisconsin","DC/DL","Coaching","Dan McCarney",1994
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",1995
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",1996
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",1997
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",1998
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",1999
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2000
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2001
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2002
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2003
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2004
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2005
"1995–2006","Iowa State","HC","Coaching","Dan McCarney",2006
"2007","South Florida","DL","Coaching","Dan McCarney",2007
"2008–2010","Florida","DL","Coaching","Dan McCarney",2008
"2008–2010","Florida","DL","Coaching","Dan McCarney",2009
"2008–2010","Florida","DL","Coaching","Dan McCarney",2010
"2011–2013","North Texas","HC","Coaching","Dan McCarney",2011
"2011–2013","North Texas","HC","Coaching","Dan McCarney",2012
"2011–2013","North Texas","HC","Coaching","Dan McCarney",2013
"1982–1984","New Braunfels HS","DL","Coaching","David Bailiff",1982
"1982–1984","New Braunfels HS","DL","Coaching","David Bailiff",1983
"1982–1984","New Braunfels HS","DL","Coaching","David Bailiff",1984
"1988","Southwest Texas State","GA","Coaching","David Bailiff",1988
"1989–1991","Southwest Texas State","DL","Coaching","David Bailiff",1989
"1989–1991","Southwest Texas State","DL","Coaching","David Bailiff",1990
"1989–1991","Southwest Texas State","DL","Coaching","David Bailiff",1991
"1992–1996","New Mexico","DL","Coaching","David Bailiff",1992
"1992–1996","New Mexico","DL","Coaching","David Bailiff",1993
"1992–1996","New Mexico","DL","Coaching","David Bailiff",1994
"1992–1996","New Mexico","DL","Coaching","David Bailiff",1995
"1992–1996","New Mexico","DL","Coaching","David Bailiff",1996
"1997–2000","Southwest Texas State","DC","Coaching","David Bailiff",1997
"1997–2000","Southwest Texas State","DC","Coaching","David Bailiff",1998
"1997–2000","Southwest Texas State","DC","Coaching","David Bailiff",1999
"1997–2000","Southwest Texas State","DC","Coaching","David Bailiff",2000
"2001–2003","TCU","DC","Coaching","David Bailiff",2001
"2001–2003","TCU","DC","Coaching","David Bailiff",2002
"2001–2003","TCU","DC","Coaching","David Bailiff",2003
"2004–2006","Texas State","HC","Coaching","David Bailiff",2004
"2004–2006","Texas State","HC","Coaching","David Bailiff",2005
"2004–2006","Texas State","HC","Coaching","David Bailiff",2006
"2007–2013","Rice","HC","Coaching","David Bailiff",2007
"2007–2013","Rice","HC","Coaching","David Bailiff",2008
"2007–2013","Rice","HC","Coaching","David Bailiff",2009
"2007–2013","Rice","HC","Coaching","David Bailiff",2010
"2007–2013","Rice","HC","Coaching","David Bailiff",2011
"2007–2013","Rice","HC","Coaching","David Bailiff",2012
"2007–2013","Rice","HC","Coaching","David Bailiff",2013
"1989–1990","Grand Valley State","Assistant","Coaching","Todd Monken",1989
"1989–1990","Grand Valley State","Assistant","Coaching","Todd Monken",1990
"1991–1992","Notre Dame","GA","Coaching","Todd Monken",1991
"1991–1992","Notre Dame","GA","Coaching","Todd Monken",1992
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1993
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1994
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1995
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1996
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1997
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1998
"1993–1999","Eastern Michigan","OC","Coaching","Todd Monken",1999
"2000–2001","Louisiana Tech","RB/WR","Coaching","Todd Monken",2000
"2000–2001","Louisiana Tech","RB/WR","Coaching","Todd Monken",2001
"2002–2004","Oklahoma State","WR/Passing Game","Coaching","Todd Monken",2002
"2002–2004","Oklahoma State","WR/Passing Game","Coaching","Todd Monken",2003
"2002–2004","Oklahoma State","WR/Passing Game","Coaching","Todd Monken",2004
"2005–2006","LSU","WR/Passing Game","Coaching","Todd Monken",2005
"2005–2006","LSU","WR/Passing Game","Coaching","Todd Monken",2006
"2007–2009","Jacksonville Jaguars","WR","Coaching","Todd Monken",2007
"2007–2009","Jacksonville Jaguars","WR","Coaching","Todd Monken",2008
"2007–2009","Jacksonville Jaguars","WR","Coaching","Todd Monken",2009
"2010","Jacksonville Jaguars","QB","Coaching","Todd Monken",2010
"2011–2012","Oklahoma State","OC","Coaching","Todd Monken",2011
"2011–2012","Oklahoma State","OC","Coaching","Todd Monken",2012
"2013–2013","Southern Miss","HC","Coaching","Todd Monken",2013
"1987–1988","Idaho","WR","Coaching","Curtis Johnson",1987
"1987–1988","Idaho","WR","Coaching","Curtis Johnson",1988
"1989–1993","San Diego State","WR","Coaching","Curtis Johnson",1989
"1989–1993","San Diego State","WR","Coaching","Curtis Johnson",1990
"1989–1993","San Diego State","WR","Coaching","Curtis Johnson",1991
"1989–1993","San Diego State","WR","Coaching","Curtis Johnson",1992
"1989–1993","San Diego State","WR","Coaching","Curtis Johnson",1993
"1994","SMU","WR","Coaching","Curtis Johnson",1994
"1995","California","WR","Coaching","Curtis Johnson",1995
"1996–2005","Miami","WR","Coaching","Curtis Johnson",1996
"1996–2005","Miami","WR","Coaching","Curtis Johnson",1997
"1996–2005","Miami","WR","Coaching","Curtis Johnson",1998
"1996–2005","Miami","WR","Coaching","Curtis Johnson",1999
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2000
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2001
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2002
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2003
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2004
"1996–2005","Miami","WR","Coaching","Curtis Johnson",2005
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2006
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2007
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2008
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2009
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2010
"2006–2011","New Orleans Saints","WR","Coaching","Curtis Johnson",2011
"2012–2013","Tulane","HC","Coaching","Curtis Johnson",2012
"2012–2013","Tulane","HC","Coaching","Curtis Johnson",2013
"1986–1989","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",1986
"1986–1989","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",1987
"1986–1989","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",1988
"1986–1989","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",1989
"1990–1991","RB"," RB","Coaching","Bill Blankenship",1990
"1990–1991","RB"," RB","Coaching","Bill Blankenship",1991
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1992
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1993
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1994
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1995
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1996
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1997
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1998
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",1999
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2000
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2001
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2002
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2003
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2004
"1992–2005","ST)"," ST","Coaching","Bill Blankenship",2005
"2007–2010","Tulsa","HC","Coaching","Bill Blankenship",2007
"2007–2010","Tulsa","HC","Coaching","Bill Blankenship",2008
"2007–2010","Tulsa","HC","Coaching","Bill Blankenship",2009
"2007–2010","Tulsa","HC","Coaching","Bill Blankenship",2010
"2011–2013","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",2011
"2011–2013","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",2012
"2011–2013","Spiro HSEdmond Memorial HSUnion HSTulsa (WR","WR","Coaching","Bill Blankenship",2013
"1996–1998","Langston","AC","Coaching","Garrick McGee",1996
"1996–1998","Langston","AC","Coaching","Garrick McGee",1997
"1996–1998","Langston","AC","Coaching","Garrick McGee",1998
"1999","Northern Iowa","WR","Coaching","Garrick McGee",1999
"2000–2001","Jacksonville Jaguars","QC","Coaching","Garrick McGee",2000
"2000–2001","Jacksonville Jaguars","QC","Coaching","Garrick McGee",2001
"2002","Toledo","WR","Coaching","Garrick McGee",2002
"2003","UNLV","WR","Coaching","Garrick McGee",2003
"2004–2005","Northwestern","WR","Coaching","Garrick McGee",2004
"2004–2005","Northwestern","WR","Coaching","Garrick McGee",2005
"2006–2007","Northwestern","OC/QB","Coaching","Garrick McGee",2006
"2006–2007","Northwestern","OC/QB","Coaching","Garrick McGee",2007
"2008–2009","Arkansas","QB","Coaching","Garrick McGee",2008
"2008–2009","Arkansas","QB","Coaching","Garrick McGee",2009
"2010–2011","Arkansas","OC/QB","Coaching","Garrick McGee",2010
"2010–2011","Arkansas","OC/QB","Coaching","Garrick McGee",2011
"2012–","UAB","HC","Coaching","Garrick McGee",2012
"1990-1991","Tampa Bay Vo-Tech HS","OL/DL","Coaching","Sean Kugler",1990
"1990-1991","Tampa Bay Vo-Tech HS","OL/DL","Coaching","Sean Kugler",1991
"1992","Gaither HS","Fla.","Coaching","Sean Kugler",1992
"1993-2000","","OL","Coaching","Sean Kugler",1993
"1993-2000","","OL","Coaching","Sean Kugler",1994
"1993-2000","","OL","Coaching","Sean Kugler",1995
"1993-2000","","OL","Coaching","Sean Kugler",1996
"1993-2000","","OL","Coaching","Sean Kugler",1997
"1993-2000","","OL","Coaching","Sean Kugler",1998
"1993-2000","","OL","Coaching","Sean Kugler",1999
"1993-2000","","OL","Coaching","Sean Kugler",2000
"2001-2003","University of Texas-El Paso","GA/TE/OL","Coaching","Sean Kugler",2001
"2001-2003","University of Texas-El Paso","GA/TE/OL","Coaching","Sean Kugler",2002
"2001-2003","University of Texas-El Paso","GA/TE/OL","Coaching","Sean Kugler",2003
"2004-2005","Detroit Lions","TE","Coaching","Sean Kugler",2004
"2004-2005","Detroit Lions","TE","Coaching","Sean Kugler",2005
"2006","Detroit Lions","OL","Coaching","Sean Kugler",2006
"2007-2009","Boise State","OL","Coaching","Sean Kugler",2007
"2007-2009","Boise State","OL","Coaching","Sean Kugler",2008
"2007-2009","Boise State","OL","Coaching","Sean Kugler",2009
"2010-2012","Buffalo Bills","OL","Coaching","Sean Kugler",2010
"2010-2012","Buffalo Bills","OL","Coaching","Sean Kugler",2011
"2010-2012","Buffalo Bills","OL","Coaching","Sean Kugler",2012
"2013-2013","Pittsburgh Steelers","OL","Coaching","Sean Kugler",2013
"1990-1991","University of Texas-El Paso","HC","Coaching","Sean Kugler",1990
"1990-1991","University of Texas-El Paso","HC","Coaching","Sean Kugler",1991
"1977","Hawaii","GA","Coaching","Rich Ellerson",1977
"1978","Arizona Western C.C.","DB","Coaching","Rich Ellerson",1978
"1979","Idaho","ST","Coaching","Rich Ellerson",1979
"1980","Cal State Fullerton","ST","Coaching","Rich Ellerson",1980
"1981–1983","Hawaii","ST","Coaching","Rich Ellerson",1981
"1981–1983","Hawaii","ST","Coaching","Rich Ellerson",1982
"1981–1983","Hawaii","ST","Coaching","Rich Ellerson",1983
"1984–1985","BC Lions","DL","Coaching","Rich Ellerson",1984
"1984–1985","BC Lions","DL","Coaching","Rich Ellerson",1985
"1986","Calgary Stampeders","DC","Coaching","Rich Ellerson",1986
"1987–1991","Hawaii","DC","Coaching","Rich Ellerson",1987
"1987–1991","Hawaii","DC","Coaching","Rich Ellerson",1988
"1987–1991","Hawaii","DC","Coaching","Rich Ellerson",1989
